Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Air System Sensible Heating Energy [J](Hourly),ZN1:Zone Air System Sensible Cooling Energy [J](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 02/21  07:00:00,23.229125,3.4,330.0,9.0,29.33941993514782,28.126894868019684,28.733157401583754,0.0,0.0,75.28000524276821,0.6970370855811872,0.0,0.0,28.126894868019684,-3714.69899353046,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  08:00:00,24.328875,3.4,330.0,9.0,32.651350285551227,25.42950158756627,29.040425936558749,0.0,0.0,74.47242553239573,0.6895594956703309,0.0,12735249.64025779,25.42950158756627,-4409.613554322543,1.975,1.0,0.75,26.85,497.69668040519539,8041925.605307622,1825.0703351859017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.69668040519539 
 02/21  09:00:00,25.843625,3.4,330.0,9.0,33.21665370993324,25.08359495996348,29.15012433494836,0.0,0.0,74.1035149878241,0.6861436572946678,0.0,13967531.141390814,25.08359495996348,-3932.1995569012324,2.0,1.0,1.0,26.85,506.55199352942238,8185012.29276304,1857.5430639142735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.55199352942238 
 02/21  10:00:00,27.316875,3.4,330.0,9.0,33.48606858930783,25.303013278415145,29.39454093386149,0.0,0.0,73.90738210330493,0.6843276120676382,0.0,14071427.460356076,25.303013278415145,-4098.8449147146475,2.0,1.0,1.0,26.85,509.97231720166845,8240278.86294768,1870.0855049566135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.97231720166845 
 02/21  11:00:00,28.624125,3.4,330.0,9.0,33.24502735402949,25.255237473227966,29.250132413628728,0.0,0.0,73.66671282659292,0.6820991928388235,0.0,13737228.166970469,25.255237473227966,-3975.5159842865023,2.0,1.0,1.0,26.85,514.146105930251,8307720.137460914,1885.3909275036708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.146105930251 
 02/21  12:00:00,29.60975,3.4,330.0,9.0,32.5404588885811,25.01257448180476,28.776516685192929,0.0,0.0,73.42856034647714,0.679894077282196,0.0,12100533.73552581,25.01257448180476,-3369.075652241221,2.0,1.0,1.0,26.85,447.3725870686726,7228774.481941904,1640.5302056056935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.3725870686726 
 02/21  13:00:00,30.336,3.4,330.0,9.0,32.175727341653708,25.17654157914354,28.676134460398627,0.009000000000000001,0.009000000000000001,79.7374506946573,0.7383097286542343,0.0,11957413.522318205,25.17654157914354,-3938.1356468158306,1.9666666666666666,1.0,1.0,26.85,491.3842926256868,7939928.234392203,1801.9225985540404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.3842926256868 
 02/21  14:00:00,30.844375,3.4,330.0,9.0,31.860500559225245,25.15301757529351,28.506759067259379,0.009000000000000001,0.009000000000000001,79.62589583368617,0.7372768132748719,0.0,11529903.522246849,25.15301757529351,-3739.945853350673,1.9666666666666666,1.0,1.0,26.85,488.59428466824365,7894846.486180207,1791.6915462715206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.59428466824365 
 02/21  15:00:00,31.0,3.4,330.0,9.0,31.714144557457869,25.14396353537598,28.429054046416924,0.009000000000000001,0.009000000000000001,79.58833374813504,0.7369290161864356,0.0,11293207.070784396,25.14396353537598,-3643.3895901091937,1.9666666666666666,1.0,1.0,26.85,485.50022850464895,7844851.839910886,1780.3455390709528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.50022850464895 
 02/21  16:00:00,30.68875,3.4,330.0,9.0,31.481081309952708,25.238600988148325,28.359841149050515,0.018000000000000003,0.018000000000000003,86.0433734319117,0.7966979021473306,0.0,10777490.951517733,25.238600988148325,-3882.3814016921356,1.9333333333333332,1.0,1.0,26.85,472.5355334579061,7635364.581574096,1732.8035697026262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.5355334579061 
 02/21  17:00:00,30.087000000000005,3.4,330.0,9.0,31.15722321909958,25.177509297023396,28.167366258061489,0.013500000000000002,0.013500000000000002,82.94508126745376,0.768010011735683,0.0,10067008.13598042,25.177509297023396,-3243.0689733242925,1.95,1.0,1.0,26.85,456.9180966258963,7383013.5611767689,1675.5339076857217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.9180966258963 
 02/21  18:00:00,29.31925,3.4,330.0,9.0,30.62994315354213,25.084478073755773,27.85721061364895,0.013500000000000002,0.013500000000000002,83.08697399004959,0.7693238332411998,0.0,9422870.800238396,25.084478073755773,-2938.2465977259717,1.95,1.0,1.0,26.85,438.88169905226968,7091576.2798254699,1609.3938359085796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.88169905226968 
 02/21  19:00:00,28.229875,3.4,330.0,9.0,30.212133686230904,29.071989684486824,29.64206168535886,0.0675,0.0675,122.99410855780546,1.138834338498199,0.0,0.0,29.071989684486824,-5385.617674449906,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  20:00:00,27.192375,3.4,330.0,9.0,30.10644821929695,29.70800112325689,29.90722467127692,0.0,0.0,75.00351052487133,0.6944769493043643,0.0,0.0,29.70800112325689,-2040.2398635574,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  21:00:00,26.383125,3.4,330.0,9.0,29.8361987603882,29.347994529352705,29.592096644870453,0.0,0.0,75.03442250688154,0.6947631713600144,0.0,0.0,29.347994529352705,-1934.3103589692241,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  22:00:00,25.636125,3.4,330.0,9.0,29.549283228639874,29.01865160301748,29.283967415828678,0.0,0.0,75.06638701032533,0.6950591389844939,0.0,0.0,29.01865160301748,-1810.22316917447,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
